OOMP Parts -- CSV, 2016-06-14
OOMP ID,Name,Type,Size/Package,Color/Material,Description/Value,Index/Rating,SEEED OPL ID,Manufacturer 1,Man 1 P/N,Manufacturer 2,Man 2 P/N,Distributor 1,Dist 1 P/N,Distributor 2,Dist 2 P/N,Datasheet,
"BUTA-12-X-STAN-01","12 mm Pushbutton (Tactile)","Pushbutton (Tactile)","12 mm","","","",,,,,,Sparkfun,9190,Adafruit,1009,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/BUTA-12-X-STAN-01/BUTA-12-X-STAN-01-datasheet.pdf,
"BUTA-3025-X-02PI-01","SMD (3025) 2 Pin Pushbutton (Tactile)","Pushbutton (Tactile)","SMD (3025)","","2 Pin","",311020047 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/BUTA-3025-X-02PI-01/BUTA-3025-X-02PI-01-datasheet.pdf,
"BUTA-3643-X-STAN-01","SMD (3643) Pushbutton (Tactile)","Pushbutton (Tactile)","SMD (3643)","","","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/BUTA-3643-X-STAN-01/BUTA-3643-X-STAN-01-datasheet.pdf,
"BUTA-4632-X-STAN-01","SMD (4632) Pushbutton (Tactile)","Pushbutton (Tactile)","SMD (4632)","","","",311020045 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/BUTA-4632-X-STAN-01/BUTA-4632-X-STAN-01-datasheet.pdf,
"BUTA-52D-X-STAN-01","5.2 mm Pushbutton (Tactile)","Pushbutton (Tactile)","5.2 mm","","","",311020017 ,,,,,Farnell,1656434,RS Electronics,58-2067,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/BUTA-52D-X-STAN-01/BUTA-52D-X-STAN-01-datasheet.pdf,
"BUZZ-12-X-V3-01","12 mm 3v Buzzer","Buzzer","12 mm","","3v","",312010004 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/BUZZ-12-X-V3-01/BUZZ-12-X-V3-01-datasheet.pdf,
"CABL-200-X-GROV-01","200 mm Grove Cable","Cable","200 mm","","Grove","",321070005 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CABL-200-X-GROV-01/CABL-200-X-GROV-01-datasheet.pdf,
"CABL-21D-X-V09-01","2.1 mm 9v Cable","Cable","2.1 mm","","9v","",321050033 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CABL-21D-X-V09-01/CABL-21D-X-V09-01-datasheet.pdf,
"CAPC-0402-X-NF1-01","SMD (0402) 1 nF Capacitor (Ceramic)","Capacitor (Ceramic)","SMD (0402)","","1 nF","",302010005 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0402-X-NF1-01/CAPC-0402-X-NF1-01-datasheet.pdf,
"CAPC-0402-X-NF10-01","SMD (0402) 10 nF Capacitor (Ceramic)","Capacitor (Ceramic)","SMD (0402)","","10 nF","",302010006 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0402-X-NF10-01/CAPC-0402-X-NF10-01-datasheet.pdf,
"CAPC-0402-X-NF100-01","SMD (0402) 100 nF Capacitor (Ceramic)","Capacitor (Ceramic)","SMD (0402)","","100 nF","",302010024 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0402-X-NF100-01/CAPC-0402-X-NF100-01-datasheet.pdf,
"CAPC-0402-X-NF100-VB","SMD (0402) 100 nF Capacitor (Ceramic) 10v","Capacitor (Ceramic)","SMD (0402)","","100 nF","10v",302010037 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0402-X-NF100-VB/CAPC-0402-X-NF100-VB-datasheet.pdf,
"CAPC-0402-X-NF100-VF","SMD (0402) 100 nF Capacitor (Ceramic) 16v","Capacitor (Ceramic)","SMD (0402)","","100 nF","16v",302010004 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0402-X-NF100-VF/CAPC-0402-X-NF100-VF-datasheet.pdf,
"CAPC-0402-X-NF22-01","SMD (0402) 22 nF Capacitor (Ceramic)","Capacitor (Ceramic)","SMD (0402)","","22 nF","",302010242 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0402-X-NF22-01/CAPC-0402-X-NF22-01-datasheet.pdf,
"CAPC-0402-X-NF220-VF","SMD (0402) 220 nF Capacitor (Ceramic) 16v","Capacitor (Ceramic)","SMD (0402)","","220 nF","16v",302010051 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0402-X-NF220-VF/CAPC-0402-X-NF220-VF-datasheet.pdf,
"CAPC-0402-X-NF22D-01","SMD (0402) 2.2 nF Capacitor (Ceramic)","Capacitor (Ceramic)","SMD (0402)","","2.2 nF","",302010022 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0402-X-NF22D-01/CAPC-0402-X-NF22D-01-datasheet.pdf,
"CAPC-0402-X-NF47-VA","SMD (0402) 47 nF Capacitor (Ceramic) 25v","Capacitor (Ceramic)","SMD (0402)","","47 nF","25v",302010002 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0402-X-NF47-VA/CAPC-0402-X-NF47-VA-datasheet.pdf,
"CAPC-0402-X-NF47D-01","SMD (0402) 4.7 nF Capacitor (Ceramic)","Capacitor (Ceramic)","SMD (0402)","","4.7 nF","",302010261 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0402-X-NF47D-01/CAPC-0402-X-NF47D-01-datasheet.pdf,
"CAPC-0402-X-PF05D-01","SMD (0402) 0.5 pF Capacitor (Ceramic)","Capacitor (Ceramic)","SMD (0402)","","0.5 pF","",302010048 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0402-X-PF05D-01/CAPC-0402-X-PF05D-01-datasheet.pdf,
"CAPC-0402-X-PF1-01","SMD (0402) 1 pF Capacitor (Ceramic)","Capacitor (Ceramic)","SMD (0402)","","1 pF","",302010021 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0402-X-PF1-01/CAPC-0402-X-PF1-01-datasheet.pdf,
"CAPC-0402-X-PF10-01","SMD (0402) 10 pF Capacitor (Ceramic)","Capacitor (Ceramic)","SMD (0402)","","10 pF","",302010001 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0402-X-PF10-01/CAPC-0402-X-PF10-01-datasheet.pdf,
"CAPC-0402-X-PF100-01","SMD (0402) 100 pF Capacitor (Ceramic)","Capacitor (Ceramic)","SMD (0402)","","100 pF","",302010012 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0402-X-PF100-01/CAPC-0402-X-PF100-01-datasheet.pdf,
"CAPC-0402-X-PF12-01","SMD (0402) 12 pF Capacitor (Ceramic)","Capacitor (Ceramic)","SMD (0402)","","12 pF","",302010049 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0402-X-PF12-01/CAPC-0402-X-PF12-01-datasheet.pdf,
"CAPC-0402-X-PF15-01","SMD (0402) 15 pF Capacitor (Ceramic)","Capacitor (Ceramic)","SMD (0402)","","15 pF","",302010041 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0402-X-PF15-01/CAPC-0402-X-PF15-01-datasheet.pdf,
"CAPC-0402-X-PF15D-01","SMD (0402) 1.5 pF Capacitor (Ceramic)","Capacitor (Ceramic)","SMD (0402)","","1.5 pF","",302010023 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0402-X-PF15D-01/CAPC-0402-X-PF15D-01-datasheet.pdf,
"CAPC-0402-X-PF18-01","SMD (0402) 18 pF Capacitor (Ceramic)","Capacitor (Ceramic)","SMD (0402)","","18 pF","",302010016 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0402-X-PF18-01/CAPC-0402-X-PF18-01-datasheet.pdf,
"CAPC-0402-X-PF22-01","SMD (0402) 22 pF Capacitor (Ceramic)","Capacitor (Ceramic)","SMD (0402)","","22 pF","",302010018 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0402-X-PF22-01/CAPC-0402-X-PF22-01-datasheet.pdf,
"CAPC-0402-X-PF220-01","SMD (0402) 220 pF Capacitor (Ceramic)","Capacitor (Ceramic)","SMD (0402)","","220 pF","",302010013 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0402-X-PF220-01/CAPC-0402-X-PF220-01-datasheet.pdf,
"CAPC-0402-X-PF22D-01","SMD (0402) 2.2 pF Capacitor (Ceramic)","Capacitor (Ceramic)","SMD (0402)","","2.2 pF","",302010223 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0402-X-PF22D-01/CAPC-0402-X-PF22D-01-datasheet.pdf,
"CAPC-0402-X-PF27-01","SMD (0402) 27 pF Capacitor (Ceramic)","Capacitor (Ceramic)","SMD (0402)","","27 pF","",302010027 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0402-X-PF27-01/CAPC-0402-X-PF27-01-datasheet.pdf,
"CAPC-0402-X-PF33-01","SMD (0402) 33 pF Capacitor (Ceramic)","Capacitor (Ceramic)","SMD (0402)","","33 pF","",302010000 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0402-X-PF33-01/CAPC-0402-X-PF33-01-datasheet.pdf,
"CAPC-0402-X-PF390-01","SMD (0402) 390 pF Capacitor (Ceramic)","Capacitor (Ceramic)","SMD (0402)","","390 pF","",302010260 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0402-X-PF390-01/CAPC-0402-X-PF390-01-datasheet.pdf,
"CAPC-0402-X-PF47-01","SMD (0402) 47 pF Capacitor (Ceramic)","Capacitor (Ceramic)","SMD (0402)","","47 pF","",302010007 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0402-X-PF47-01/CAPC-0402-X-PF47-01-datasheet.pdf,
"CAPC-0402-X-UF1-VB","SMD (0402) 1 uF Capacitor (Ceramic) 10v","Capacitor (Ceramic)","SMD (0402)","","1 uF","10v",302010040 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0402-X-UF1-VB/CAPC-0402-X-UF1-VB-datasheet.pdf,
"CAPC-0402-X-UF1-VH","SMD (0402) 1 uF Capacitor (Ceramic) 6.3v","Capacitor (Ceramic)","SMD (0402)","","1 uF","6.3v",302010003 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0402-X-UF1-VH/CAPC-0402-X-UF1-VH-datasheet.pdf,
"CAPC-0402-X-UF10-VH","SMD (0402) 10 uF Capacitor (Ceramic) 6.3v","Capacitor (Ceramic)","SMD (0402)","","10 uF","6.3v",302010053 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0402-X-UF10-VH/CAPC-0402-X-UF10-VH-datasheet.pdf,
"CAPC-0402-X-UF47D-VH","SMD (0402) 4.7 uF Capacitor (Ceramic) 6.3v","Capacitor (Ceramic)","SMD (0402)","","4.7 uF","6.3v",302010019 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0402-X-UF47D-VH/CAPC-0402-X-UF47D-VH-datasheet.pdf,
"CAPC-05-X-NF100-01","5 mm 100 nF Capacitor (Ceramic)","Capacitor (Ceramic)","5 mm","","100 nF","",302010208 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-05-X-NF100-01/CAPC-05-X-NF100-01-datasheet.pdf,
"CAPC-0603-X-NF1-01","SMD (0603) 1 nF Capacitor (Ceramic)","Capacitor (Ceramic)","SMD (0603)","","1 nF","",302010141 ,Murata,GRM1885C1H102JA01D,Kemet,C0603C102J5GACTU,Mouser,603-CC603KRX7R9BB102,Rapid Electronics,71-1856,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0603-X-NF1-01/CAPC-0603-X-NF1-01-datasheet.pdf,
"CAPC-0603-X-NF1-65","SMD (0603) 1 nF Capacitor (Ceramic) 5%","Capacitor (Ceramic)","SMD (0603)","","1 nF","5%",302010341 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0603-X-NF1-65/CAPC-0603-X-NF1-65-datasheet.pdf,
"CAPC-0603-X-NF10-01","SMD (0603) 10 nF Capacitor (Ceramic)","Capacitor (Ceramic)","SMD (0603)","","10 nF","",302010140 ,AVX Interconnect,06035C103JAT2A,Kemet,C0603C103J5RACTU,Mouser,603-CC603KRX7R9BB103,Rapid Electronics,71-1856,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0603-X-NF10-01/CAPC-0603-X-NF10-01-datasheet.pdf,
"CAPC-0603-X-NF100-01","SMD (0603) 100 nF Capacitor (Ceramic)","Capacitor (Ceramic)","SMD (0603)","","100 nF","",302010138 ,AVX Interconnect,06035C104JAT2A,Kemet,C0603C104J5RACTU,Mouser,603-CC603KRX7R9BB104,Rapid Electronics,71-1862,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0603-X-NF100-01/CAPC-0603-X-NF100-01-datasheet.pdf,
"CAPC-0603-X-NF22-01","SMD (0603) 22 nF Capacitor (Ceramic)","Capacitor (Ceramic)","SMD (0603)","","22 nF","",302010095 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0603-X-NF22-01/CAPC-0603-X-NF22-01-datasheet.pdf,
"CAPC-0603-X-NF220-01","SMD (0603) 220 nF Capacitor (Ceramic)","Capacitor (Ceramic)","SMD (0603)","","220 nF","",302010073 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0603-X-NF220-01/CAPC-0603-X-NF220-01-datasheet.pdf,
"CAPC-0603-X-NF22D-01","SMD (0603) 2.2 nF Capacitor (Ceramic)","Capacitor (Ceramic)","SMD (0603)","","2.2 nF","",302010056 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0603-X-NF22D-01/CAPC-0603-X-NF22D-01-datasheet.pdf,
"CAPC-0603-X-NF33-01","SMD (0603) 33 nF Capacitor (Ceramic)","Capacitor (Ceramic)","SMD (0603)","","33 nF","",302010088 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0603-X-NF33-01/CAPC-0603-X-NF33-01-datasheet.pdf,
"CAPC-0603-X-NF47D-01","SMD (0603) 4.7 nF Capacitor (Ceramic)","Capacitor (Ceramic)","SMD (0603)","","4.7 nF","",302010144 ,AVX Interconnect,06035C472JAT2A,Kemet,C0603C472J5RACTU,Mouser,603-C0603KRX7R9BB472,SEEED Studios,302010144,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0603-X-NF47D-01/CAPC-0603-X-NF47D-01-datasheet.pdf,
"CAPC-0603-X-PF10-01","SMD (0603) 10 pF Capacitor (Ceramic)","Capacitor (Ceramic)","SMD (0603)","","10 pF","",302010097 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0603-X-PF10-01/CAPC-0603-X-PF10-01-datasheet.pdf,
"CAPC-0603-X-PF100-01","SMD (0603) 100 pF Capacitor (Ceramic)","Capacitor (Ceramic)","SMD (0603)","","100 pF","",302010076 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0603-X-PF100-01/CAPC-0603-X-PF100-01-datasheet.pdf,
"CAPC-0603-X-PF12-01","SMD (0603) 12 pF Capacitor (Ceramic)","Capacitor (Ceramic)","SMD (0603)","","12 pF","",302010067 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0603-X-PF12-01/CAPC-0603-X-PF12-01-datasheet.pdf,
"CAPC-0603-X-PF15-01","SMD (0603) 15 pF Capacitor (Ceramic)","Capacitor (Ceramic)","SMD (0603)","","15 pF","",302010082 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0603-X-PF15-01/CAPC-0603-X-PF15-01-datasheet.pdf,
"CAPC-0603-X-PF22-01","SMD (0603) 22 pF Capacitor (Ceramic)","Capacitor (Ceramic)","SMD (0603)","","22 pF","",302010143 ,Kemet,C0603C220J5GACTU,Samsung,CL10C220JB8NNNC,Mouser,603-CC603JRNPO9BN220,Rapid Electronics,71-1792,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0603-X-PF22-01/CAPC-0603-X-PF22-01-datasheet.pdf,
"CAPC-0603-X-PF27-01","SMD (0603) 27 pF Capacitor (Ceramic)","Capacitor (Ceramic)","SMD (0603)","","27 pF","",302010142 ,Kemet,C0603C270J5GACTU,,,Mouser,603-CC603JRNPO9BN270,Rapid Electronics,71-1794,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0603-X-PF27-01/CAPC-0603-X-PF27-01-datasheet.pdf,
"CAPC-0603-X-PF39-01","SMD (0603) 39 pF Capacitor (Ceramic)","Capacitor (Ceramic)","SMD (0603)","","39 pF","",302010126 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0603-X-PF39-01/CAPC-0603-X-PF39-01-datasheet.pdf,
"CAPC-0603-X-PF47D-01","SMD (0603) 4.7 pF Capacitor (Ceramic)","Capacitor (Ceramic)","SMD (0603)","","4.7 pF","",302010091 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0603-X-PF47D-01/CAPC-0603-X-PF47D-01-datasheet.pdf,
"CAPC-0603-X-PF82D-01","SMD (0603) 8.2 pF Capacitor (Ceramic)","Capacitor (Ceramic)","SMD (0603)","","8.2 pF","",010023001 ,Kemet,C0603C829J5GACTU,,,Mouser,603-CC603DRNPO9BN8R2,Farnell,721955,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0603-X-PF82D-01/CAPC-0603-X-PF82D-01-datasheet.pdf,
"CAPC-0603-X-UF1-01","SMD (0603) 1 uF Capacitor (Ceramic)","Capacitor (Ceramic)","SMD (0603)","","1 uF","",302010139 ,AVX Interconnect,0603YC105KAT2A,Kemet,C0603C105K4RACTU,Rapid Electronics,71-1868,SEEED Studios,302010139,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0603-X-UF1-01/CAPC-0603-X-UF1-01-datasheet.pdf,
"CAPC-0603-X-UF10-VB","SMD (0603) 10 uF Capacitor (Ceramic) 10v","Capacitor (Ceramic)","SMD (0603)","","10 uF","10v",302010103 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0603-X-UF10-VB/CAPC-0603-X-UF10-VB-datasheet.pdf,
"CAPC-0603-X-UF10-VH","SMD (0603) 10 uF Capacitor (Ceramic) 6.3v","Capacitor (Ceramic)","SMD (0603)","","10 uF","6.3v",302010286 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0603-X-UF10-VH/CAPC-0603-X-UF10-VH-datasheet.pdf,
"CAPC-0603-X-UF22D-VB","SMD (0603) 2.2 uF Capacitor (Ceramic) 10v","Capacitor (Ceramic)","SMD (0603)","","2.2 uF","10v",302010054 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0603-X-UF22D-VB/CAPC-0603-X-UF22D-VB-datasheet.pdf,
"CAPC-0603-X-UF47D-VB","SMD (0603) 4.7 uF Capacitor (Ceramic) 10v","Capacitor (Ceramic)","SMD (0603)","","4.7 uF","10v",302010111 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0603-X-UF47D-VB/CAPC-0603-X-UF47D-VB-datasheet.pdf,
"CAPC-0805-X-NF10-01","SMD (0805) 10 nF Capacitor (Ceramic)","Capacitor (Ceramic)","SMD (0805)","","10 nF","",302010175 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0805-X-NF10-01/CAPC-0805-X-NF10-01-datasheet.pdf,
"CAPC-0805-X-NF100-01","SMD (0805) 100 nF Capacitor (Ceramic)","Capacitor (Ceramic)","SMD (0805)","","100 nF","",302010165 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0805-X-NF100-01/CAPC-0805-X-NF100-01-datasheet.pdf,
"CAPC-0805-X-UF1-01","SMD (0805) 1 uF Capacitor (Ceramic)","Capacitor (Ceramic)","SMD (0805)","","1 uF","",302010179 ,Kamet,C0805C105K4RAC7800,AVX Interconnect,08055C104KAT2A,Mouser,603-CC805KKX7R8BB105,Rapid Electronics,71-0509,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0805-X-UF1-01/CAPC-0805-X-UF1-01-datasheet.pdf,
"CAPC-0805-X-UF10-01","SMD (0805) 10 uF Capacitor (Ceramic)","Capacitor (Ceramic)","SMD (0805)","","10 uF","",302010178 ,Kamet,C0805C105K4RAC7800,Murata,GRM21BR61E106KA73L,Rapid Electronics,71-0508,SEEED Studios,302010178,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0805-X-UF10-01/CAPC-0805-X-UF10-01-datasheet.pdf,
"CAPC-0805-X-UF10-VB","SMD (0805) 10 uF Capacitor (Ceramic) 10v","Capacitor (Ceramic)","SMD (0805)","","10 uF","10v",302010158 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0805-X-UF10-VB/CAPC-0805-X-UF10-VB-datasheet.pdf,
"CAPC-0805-X-UF22-VH","SMD (0805) 22 uF Capacitor (Ceramic) 6.3v","Capacitor (Ceramic)","SMD (0805)","","22 uF","6.3v",302010171 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0805-X-UF22-VH/CAPC-0805-X-UF22-VH-datasheet.pdf,
"CAPC-0805-X-UF22D-01","SMD (0805) 2.2 uF Capacitor (Ceramic)","Capacitor (Ceramic)","SMD (0805)","","2.2 uF","",302010148 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0805-X-UF22D-01/CAPC-0805-X-UF22D-01-datasheet.pdf,
"CAPC-0805-X-UF47D-01","SMD (0805) 4.7 uF Capacitor (Ceramic)","Capacitor (Ceramic)","SMD (0805)","","4.7 uF","",302010146 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-0805-X-UF47D-01/CAPC-0805-X-UF47D-01-datasheet.pdf,
"CAPC-1206-X-NF1-01","SMD (1206) 1 nF Capacitor (Ceramic)","Capacitor (Ceramic)","SMD (1206)","","1 nF","",302010189 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-1206-X-NF1-01/CAPC-1206-X-NF1-01-datasheet.pdf,
"CAPC-1206-X-UF10-VA","SMD (1206) 10 uF Capacitor (Ceramic) 25v","Capacitor (Ceramic)","SMD (1206)","","10 uF","25v",302010181 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-1206-X-UF10-VA/CAPC-1206-X-UF10-VA-datasheet.pdf,
"CAPC-1206-X-UF100-VH","SMD (1206) 100 uF Capacitor (Ceramic) 6.3v","Capacitor (Ceramic)","SMD (1206)","","100 uF","6.3v",302010183 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-1206-X-UF100-VH/CAPC-1206-X-UF100-VH-datasheet.pdf,
"CAPC-45D-X-NF10-01","4.5 mm 10 nF Capacitor (Ceramic)","Capacitor (Ceramic)","4.5 mm","","10 nF","",302010202 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-45D-X-NF10-01/CAPC-45D-X-NF10-01-datasheet.pdf,
